,Key,Function
157,4123,character
158,4123,reading
159,4100,dealing with praise
160,4100,appreciating
163,4121,finding
167,4113,celebrating
168,4113,asking questions
169,4113,video
170,QW0460,video
171,4114,awkward situations
172,4114,instructions
173,4114,expressing opinions
177,BOG0005,counting
178,4102,video
179,4102,looking for something
180,4102,idioms
181,4102,investigating
182,4093,video
184,4103,correcting
185,4103,expressing opinions
186,4103,comforting
187,4103,saying no
188,4103,terms of endearment
190,BOG0001,video
192,4111,video
194,4088,video
195,4107,reading
196,4104,making plans
197,4104,playing games
199,4082,finding
200,4082,directions
201,QW0461,addition and conclusion
202,QW0461,video
203,4096,addition and conclusion
204,4096,awkward situations
205,4096,expressing confusion
206,4096,identifying
207,4087,connecting
210,4092,video
211,4092,describing feelings
212,4092,expressing disgust
213,4092,indifference
214,4092,liking and disliking
215,4092,extremes
216,4089,describing people
217,4089,awkward situations
218,4089,expressing frustration
219,4086,asking for help
220,4086,describing problems
221,4086,making appointment
222,4086,expressing discontent
223,4086,explaining problems
226,4094,video
227,4094,discussing
228,4094,counting
229,4083,opinion
230,4083,discussing
231,4083,asking for help
232,4083,making appointment
233,4083,video
237,4090,comparing
238,4090,discussing
239,4090,video
240,4091,expressing anger
241,4091,having fun
242,4091,describing actions
243,4091,describing people
244,4091,describing
245,4091,addition and conclusion
246,4091,video
247,4084,giving advice
248,4084,describing
249,4084,explaining
250,4084,expressing opinions
255,4081,buying
256,4081,shopping
257,4080,expressing opinions
258,4080,explaining_views
259,4080,selling
260,4078,asking questions
261,4079,asking questions
262,4079,video
263,4077,expressing opinions
264,4077,explaining_views
266,4073,negotiating
267,AI030,classifying
268,AI029,classifying
269,AI028,asking permission
270,AI028,asking questions
271,AI027,asking price
272,AI027,buying
273,AI026,making a phone call
274,AI026,asking questions
275,AI025,asking questions
276,AI025,expressing time
277,AI024,asking questions
278,AI024,time
279,AI023,ordering
280,AI022,counting
281,AI022,quantifying
290,4066,shopping
291,AI017,introducing
292,4065,complaining
293,4065,ordering food
294,AI016,asking questions
296,4064,complaining
301,4059,disagreeing
302,4059,complaining
305,4057,asking questions
306,4056,asking for directions
308,4055,arguing
310,4053,studying
311,AI012,asking for directions
312,AI012,finding
313,AI012,making plans
314,4052,describing likes and dislikes
315,4051,complaining
316,4050,blaming
317,4050,arguing
318,AI011,buying
319,AI011,asking price
320,AI011,asking questions
326,AI009,adjectives
327,AI009,describing people
328,AI009,Intensifier
330,4045,inviting
331,4045,eating out
332,AI008,adjectives
333,AI008,describing people
335,QW0456,eating out
336,4043,asking questions
338,4041,greetings
340,AI007,addressing people
341,QW0454,praising
342,QW0454,being polite
345,QW0451,describing
346,QW0451,describing feelings
347,QW0451,adjectives
356,4035,anger and annoyance
358,4033,offering help
359,4033,small talk
360,AI005,thanking
361,AI005,being polite
363,4031,describing
364,4031,adjectives
365,4030,making plans
366,AI004,apologizing
367,AI004,saying sorry
368,AI003,being polite
369,AI003,asking questions
370,4029,offering help
371,4028,complaining
375,AI002,greetings
376,AI001,greetings
377,AI001,introductions
383,4020,complaining
385,4018,making plans
386,4018,eating out
389,QW0448,saying sorry
390,4015,reading
396,4010,interviewing
398,4008,time
402,4005,time
407,4001,complaining
412,3097,giving advice
419,QW0442,synonyms
421,QW0441,grammar
422,QW0441,synonyms
425,QW0440,making friends
426,QW0440,socialising
430,3085,giving advice
432,3083,blaming
433,3083,losing
434,3083,finding
435,3082,telephone
439,3078,giving advice
449,3069,disagreeing
453,3066,making suggestions
454,3066,recommending
455,3065,asking for directions
459,3061,giving directions
463,3057,eating out
464,3056,arguing
470,3050,arguing
471,3049,ordering food
472,3048,instructions
474,3046,recommending
475,3045,ordering food
477,3043,complaining
479,3041,directions
480,3041,asking for directions
487,3034,teaching
488,3034,offering help
503,3022,liking and disliking
504,QW0432,asking for directions
506,3020,describing people
507,3020,describing places
516,QW0430,wishing well
517,QW0430,celebrating
518,3012,making a phone call
527,3001,asking questions
529,2999,eating out
535,2993,ordering food
539,2989,making a phone call
540,2989,planning
543,2985,shopping
546,2983,shopping
547,2982,making plans
548,2981,making plans
550,2979,applying
565,2966,arguing
567,QW0426,synonyms
577,QW0406,synonyms
578,2956,making plans
584,2950,comparing
604,2930,grammar
605,2929,instructions
607,2927,instructions
608,2927,teaching
609,2926,small talk
610,2925,greetings
612,2923,classifying
616,2920,instructions
617,QW0423,Intensifier
620,2917,comparing
623,2915,addressing people
624,2915,arguing
632,2907,scheduling
633,2906,instructions
640,2899,asking for directions
645,2894,describing
646,2894,shopping
650,2890,directions
651,QW0421,grammar
652,2889,formal
653,2888,buying
654,2887,asking questions
655,2886,formal
657,2884,making plans
658,2883,asking questions
662,2879,giving reasons
663,2879,saying no
664,2879,asking questions
670,2872,opinion
671,2871,ordering
673,2868,buying
677,2864,making an appointment
678,2864,making a phone call
679,2863,asking questions
683,2859,losing
684,2859,looking for something
685,QW0420,asking questions
686,2858,giving instructions
687,2858,eating in
688,2857,formal
689,2857,asking for help
690,2857,giving instructions
691,2857,answering the phone
692,2857,answering questions
693,2856,asking questions
694,2856,criticizing
695,2855,shopping
696,2855,persuading
697,2855,selling
698,2855,asking price
700,2853,discussing
704,2850,wishing well
705,2850,expressing desires
706,2849,adjectives
707,2849,describing actions
708,2848,to comfort
709,2848,socialising
710,2848,expressing displeasure
711,2848,describing problems
712,2847,comparing
713,2847,expressing confusion
714,2847,expressing excitement
715,2846,asking for help
716,2846,asking questions
717,2846,describing problems
718,2846,worrying
719,2846,instructions
